field_name,code_value,mapped_value
occ_code,557,"Supervisors; plumbers, pipefitters & steamfitters"
occ_code,558,"Supervisors, n.e.c."
occ_code,563,Brickmasons and stonemasons
occ_code,564,Brickmasons and stonemasons apprentices
occ_code,565,"Tile setters, hard and soft"
occ_code,566,Carpet installers
occ_code,567,Carpenters
occ_code,569,Carpenter apprentices
occ_code,573,Drywall installers
occ_code,575,Electricians
occ_code,576,Electricians' apprentices
occ_code,577,Electrical power installers and repairers
occ_code,579,"Painters, construction and maintenance"
occ_code,583,Paperhangers
occ_code,584,Plasterers
occ_code,585,"Plumbers, pipefitters and steamfitters"
occ_code,587,"Plumber, pipefitter and steamfiter apprentices"
occ_code,588,Concrete and terrazzo finishers
occ_code,589,Glaziers
occ_code,593,Insulation Workers
occ_code,594,"Paving, surfacing and tamping equipment operators"
occ_code,595,Roofers
occ_code,596,Sheetmetal duct installers
occ_code,597,Structural metal workers
occ_code,598,"Drillers, earth"
occ_code,599,"Construction trades, n.e.c."
occ_code,613,"Supervisors, extractive occupations"
occ_code,614,"Drillers, oil well"
occ_code,615,Explosives workers
occ_code,616,Mining machine operators
occ_code,617,"Mining occupations, n.e.c."
occ_code,633,"Supervisors, production occupations"
occ_code,634,Tool and die makers
occ_code,635,Tool and die maker apprentices
occ_code,636,"Precision assemblers, metal"
occ_code,637,Machinists
occ_code,639,Machinist apprentices
occ_code,643,Boilermakers
occ_code,644,"Precision grinders, fitters and tool sharpeners"
occ_code,645,"Patternmakers and model makers, metal"
occ_code,646,Lay-out workers
occ_code,647,Precious stones and metals workers (jewelers)
occ_code,649,"Engravers, metal"
occ_code,653,Sheet metal workers
occ_code,654,Sheet metal worker apprentices
occ_code,655,Miscellaneous precision metal workers
occ_code,656,"Patternmakers and model makers, wood"
occ_code,657,Cabinet makers and bench carpenters
occ_code,658,Furniture and wood finishers
occ_code,659,Miscellaneous precision woodworkers
occ_code,666,Dressmakers
occ_code,667,Tailors
occ_code,668,Upholsterers
occ_code,669,Shoe repairers
occ_code,673,Apparel and fabric pattern makers
occ_code,674,Miscellaneous precision apparel and fabric workers
occ_code,675,"Hand molders and shapers, except jewelers"
occ_code,676,"Patternmakers, lay-out workers, and cutters"
occ_code,677,Optical goods workers
occ_code,678,Dental laboratory & medical appliance technicians
occ_code,679,Bookbinders
occ_code,683,Electrical and electronic equipment assemblers
occ_code,684,"Miscellaneous precision workers, n.e.c."
occ_code,686,Butchers and meat cutters
occ_code,687,Bakers
occ_code,688,Food batchmakers
occ_code,689,"Inspectors, testers and graders"
occ_code,693,Adjusters and calibrators
occ_code,694,Water and sewage treatment plant operators
occ_code,695,Power plant operators
occ_code,696,Stationary engineers
occ_code,699,Miscellaneous plant and system operators
occ_code,703,Lathe and turning machine set-up operators
occ_code,704,Lathe and turning machine operators
occ_code,705,Milling and planing machine operators
occ_code,706,Punching and stamping press machine operators
occ_code,707,Rolling machine operators
occ_code,708,Drilling and boring machine operators
occ_code,709,"Grinding, abrading, buffing & polishing mach. op's"
occ_code,713,Forging machine operators
occ_code,714,Numerical control machine operators
occ_code,715,"Misc. metal,plastic,stone&glass-working mach. op's"
occ_code,717,"Fabricating machine operators, n.e.c."
occ_code,719,Molding and casting machine operators
occ_code,723,Metal plating machine operators
occ_code,724,Heat treating equipment operators
occ_code,725,Misc. metal & plastic processing machine operators
occ_code,726,"Wood lathe, routing, and planing machine operators"
occ_code,727,Sawing machine operators
occ_code,728,Shaping and joining machine operators
occ_code,729,Nailing and tacking machine operators
occ_code,733,Miscellaneous woodworking machine operators
occ_code,734,Printing machine operators
occ_code,735,Photoengravers and lithographers
occ_code,736,Typesetters and compositors
occ_code,737,Miscellaneous printing machine operators
occ_code,738,Winding and twisting machine operators
occ_code,739,"Knitting, looping, taping & weaving mach.operators"
occ_code,743,Textile cutting machine operators
occ_code,744,Textile sewing machine operators
occ_code,745,Shoe machine operators
occ_code,747,Pressing machine operators
occ_code,748,Laundering and dry cleaning machine operators
occ_code,749,Miscellaneous textile machine operators
occ_code,753,Cementing and gluing machine operators
occ_code,754,Packaging and filling machine operators
